name,native_rate,foreign_rate,employment_gap
Stockholm,85.5,73.1,12.4
Uppsala,83.1,69.2,13.9
Södermanland,84.1,67.5,16.6
Östergötland,83.6,67.6,16.0
Jönköping,87.2,71.5,15.7
Kronoberg,86.0,67.7,18.3
Kalmar,85.1,68.8,16.3
Gotland,84.4,65.8,18.6
Blekinge,84.7,65.4,19.3
Skåne,83.1,66.4,16.7
Halland,87.0,72.6,14.4
Västra Götaland,85.3,71.4,13.9
Värmland,84.3,67.6,16.7
Örebro,83.7,69.0,14.7
Västmanland,84.5,70.3,14.2
Dalarna,85.8,68.4,17.4
Gävleborg,84.2,66.3,17.9
Västernorrland,85.1,69.7,15.4
Jämtland,87.0,72.0,15.0
Västerbotten,84.7,72.9,11.8
Norrbotten,85.4,75.0,10.4
